Representative_Sequence	total	A23.C0	CreativEruC00	CreativEruC02	CreativEruC03	CreativEruC06	CreativEruC08	CreativEruC10	CreativEruC12	CreativEruC14	CreativEruC16	CreativEruC19	CreativEruC21	CreativEruC23	CreativEruC25	CreativEruC27	CreativEruC29	CreativEruC31	CreativEru_A01	CreativEru_A07	CreativEru_A09	CreativEru_A10	CreativEru_A13	CreativEru_A18	CreativEru_Y04	CreativEru_Y07	CreativEru_Y10	CreativEru_Y13	CreativEru_Y16	CreativEru_Y19	CreativEru_Y23	Y27.CN2	
Mpick372	5	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick373	26	0	6	18	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick374	31	0	19	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick375	5	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick376	7	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Mpick377	8	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick378	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick379	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick380	271	0	133	94	23	0	2	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick381	14	0	2	6	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick382	38	0	0	4	0	8	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	16	0	1
Mpick383	46	0	0	9	0	0	0	0	0	0	0	0	0	4	2	3	25	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Mpick384	69	0	0	38	3	14	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick385	9	0	1	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick386	22	0	0	0	4	17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick387	14	0	0	0	2	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick388	23	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick389	1006	0	0	0	73	924	6	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick390	97	0	0	0	0	1	0	0	0	0	20	4	23	12	22	9	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick391	4	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick392	8	0	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick393	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick394	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick395	38	0	14	6	5	1	0	0	0	0	0	0	0	0	0	0	0	0	9	0	3	0	0	0	0	0	0	0	0	0	0	0
Mpick396	12	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	3	0	0	0	0	0	0	0	0	0	0
Mpick397	24	17	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Mpick398	14	0	1	1	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
Mpick399	19	0	9	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick400	6	1	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick401	10	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick402	3	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick403	35	0	0	24	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	8	0	0
Mpick404	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick405	43	0	0	11	1	0	0	6	1	0	7	8	0	0	1	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick406	8	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick407	20	0	9	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0
Mpick408	33	0	0	1	15	0	3	1	2	0	0	0	0	0	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
Mpick409	7	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick410	7	0	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick411	8	0	0	2	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick412	8	0	1	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Mpick413	179	0	93	30	34	15	1	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick414	6	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick415	21	0	12	6	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick416	269	0	144	30	28	12	42	8	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick417	302	0	63	95	53	43	18	8	12	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick418	1124	0	51	72	197	129	92	100	121	96	66	22	27	39	28	33	44	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick419	40	0	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	22	3	0	0	0	0	0	0	0	0	0	0
Mpick420	5	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick421	6	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick422	9	0	0	2	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick423	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick424	21	7	7	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick425	101	10	5	6	28	6	5	3	2	4	1	2	0	0	0	1	0	0	6	0	0	0	0	5	10	2	0	2	1	2	0	0
Mpick426	31	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0
Mpick427	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick428	119	0	0	11	23	14	5	1	12	4	3	1	2	0	2	7	3	0	0	20	6	0	1	2	0	0	0	0	0	0	1	1
Mpick429	380	1	0	0	17	76	26	37	8	39	36	17	50	14	13	23	7	15	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Mpick430	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick431	5	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick432	8	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick433	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick434	39	0	0	36	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick435	23	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	9	2	1	0	0	0	0	0	0	0	0	0
Mpick436	372	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	13	0	0	0	0	1	7	0	288	3	49
Mpick437	46	0	12	8	0	12	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	0	0	0
Mpick438	34	0	25	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick439	95	0	2	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	66	10	0	0	0	11	0	0	0	0	0	0
Mpick440	549	0	23	38	38	29	21	15	25	28	21	3	13	10	3	8	5	0	20	14	195	37	2	1	0	0	0	0	0	0	0	0
Mpick441	755	0	0	2	0	0	14	3	17	22	39	14	61	79	86	108	154	118	1	5	23	9	0	0	0	0	0	0	0	0	0	0
Mpick442	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	21	1	0	0	22	64	25	0	10	4	0
Mpick443	17	0	0	0	1	5	3	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick444	7	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Mpick445	168	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	1	0	2	0	1	0
Mpick446	14	0	1	0	1	7	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
Mpick447	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0
Mpick448	2797	3	0	3	37	123	97	119	438	734	586	202	169	64	72	50	73	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick449	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick450	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick451	590	0	0	5	1	120	1	19	12	114	27	8	16	17	9	190	32	10	0	0	0	0	0	0	0	0	0	0	0	9	0	0
Mpick452	153	0	3	62	14	4	5	12	9	10	17	4	0	0	0	0	7	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick453	111	0	0	0	0	0	0	14	15	30	24	8	13	4	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick454	278	3	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	68	0	0	0	0	2	110	0	72
Mpick455	33	0	0	0	1	6	13	7	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Mpick456	20	7	3	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick457	16	10	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Mpick458	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick459	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick460	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick461	35	0	0	0	0	5	10	7	3	4	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick462	292	0	1	0	0	23	48	32	10	14	9	5	1	4	9	71	56	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick463	734	8	18	8	18	9	6	0	0	1	0	0	0	0	0	0	0	0	5	0	0	2	0	59	23	239	46	25	72	167	28	0
Mpick464	7	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick465	5	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick466	5	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick467	126	0	47	23	0	3	1	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	1	0	1	0	0	0	0	0	0
Mpick468	17	0	0	16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick469	765	0	0	39	0	47	11	24	79	26	160	106	93	67	59	23	11	14	0	0	0	0	0	0	0	5	0	0	0	1	0	0
Mpick470	1481	0	0	158	4	6	12	26	120	9	45	62	43	52	64	155	452	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick471	380	0	1	45	0	30	41	84	21	7	13	14	35	35	16	22	9	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick472	7324	0	18	620	2	707	833	1077	691	484	303	326	709	622	466	229	139	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick473	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick474	8	0	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick475	6	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick476	366	0	231	69	5	0	4	8	9	7	3	1	2	1	5	3	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick477	841	0	13	415	25	5	1	8	42	31	37	19	30	16	34	51	81	31	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick478	2995	0	0	0	1	0	15	42	52	121	144	218	388	403	453	418	449	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick479	774	0	13	84	63	21	34	11	17	1	5	0	0	0	3	0	6	0	5	0	0	0	0	1	0	0	0	0	0	441	69	0
Mpick480	51	0	11	14	12	0	0	0	4	4	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick481	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Mpick482	199	0	0	0	0	3	16	40	52	15	13	0	0	2	1	10	33	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick483	119	0	1	56	11	2	13	3	12	13	4	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick484	1170	0	0	0	0	0	14	20	110	161	139	71	173	162	203	72	28	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick485	28	0	0	0	0	0	0	11	3	3	7	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick486	108	0	0	0	0	0	0	10	30	14	2	7	0	2	0	9	32	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick487	465	0	0	0	0	1	39	60	90	82	78	0	12	8	13	19	31	2	0	0	0	0	0	0	0	0	1	0	2	14	7	6
Mpick488	35	0	0	0	5	0	0	1	0	28	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick489	101	0	0	8	0	0	0	2	5	1	7	2	14	2	5	5	12	11	0	0	0	0	0	4	0	0	0	0	0	23	0	0
Mpick490	2547	0	6	1919	162	112	28	144	49	2	16	27	12	10	0	3	2	5	14	2	0	3	0	0	21	0	0	0	0	9	1	0
Mpick491	17	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick492	732	0	0	0	0	1	0	11	62	18	49	152	111	151	117	13	26	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick493	390	0	8	4	0	1	0	0	17	0	33	71	34	31	48	68	41	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick494	254	0	0	0	0	0	1	1	5	1	4	50	83	29	69	8	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick495	79	0	0	0	0	0	0	0	2	1	7	19	6	8	32	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick496	118	0	0	0	0	0	0	0	0	0	12	2	6	37	47	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick497	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick498	29	0	0	0	0	1	0	5	1	0	0	7	1	0	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick499	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick500	20	0	0	0	0	4	0	1	0	0	1	4	0	4	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick501	43	0	0	0	0	0	0	2	25	1	3	2	0	8	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick502	22	0	0	0	0	0	0	0	0	0	0	0	0	11	4	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick503	11	0	0	0	0	0	0	3	3	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick504	44	0	3	3	0	0	4	0	8	3	9	1	0	8	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick505	246	0	0	13	9	54	12	6	23	15	45	8	28	19	4	3	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick506	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick507	10	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	2	0	0
Mpick508	44	0	0	0	0	0	2	2	17	3	1	0	0	0	0	4	11	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick509	36	0	5	1	2	0	0	4	3	0	2	0	3	0	0	0	1	0	10	3	0	0	0	0	0	0	0	0	0	0	2	0
Mpick510	61	0	23	9	0	0	0	0	3	4	6	0	0	1	0	1	2	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Mpick511	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick512	147	0	0	6	0	2	0	0	6	0	3	0	1	0	0	0	1	0	0	0	0	0	1	0	67	21	2	0	4	30	3	0
Mpick513	139	7	1	13	4	2	0	1	0	6	1	1	8	1	4	14	4	0	0	0	2	0	4	66	0	0	0	0	0	0	0	0
Mpick514	66	0	0	0	0	0	0	2	5	0	0	0	0	1	43	11	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick515	26	0	0	7	6	0	0	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Mpick516	11	1	0	0	0	0	1	2	0	0	2	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Mpick517	103	0	0	0	0	2	0	0	0	11	6	3	17	8	9	17	17	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick518	21	0	0	0	0	0	0	0	0	0	5	0	1	3	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick519	11	0	0	4	0	0	0	0	2	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick520	34	0	0	0	1	0	0	0	0	11	7	2	2	1	4	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick521	5	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick522	27	0	0	1	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Mpick523	7	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick524	7	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick525	5	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick526	17	0	0	0	0	0	0	0	0	0	9	0	1	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick527	579	0	6	0	1	0	0	0	2	2	26	9	11	5	4	8	10	2	0	34	136	96	40	122	0	0	4	1	0	11	36	13
Mpick528	24	0	0	0	1	2	0	0	1	1	6	0	7	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Mpick529	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick530	35	0	0	0	0	0	0	0	6	0	4	0	0	6	1	3	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick531	85	0	0	0	11	7	1	12	29	12	7	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick532	68	0	0	9	11	5	0	0	1	2	1	0	0	0	16	10	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick533	94	0	0	0	0	0	0	0	0	3	3	21	30	13	18	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick534	8	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Mpick535	121	0	0	0	1	1	0	0	1	4	8	1	18	10	20	22	16	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick536	136	0	0	0	0	0	0	0	7	6	10	5	8	8	11	34	27	14	0	0	0	0	0	0	0	0	0	0	0	1	2	3
Mpick537	10	0	4	0	0	0	0	2	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick538	102	0	0	0	0	0	0	0	5	11	12	11	23	4	5	8	18	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick539	101	0	0	0	0	0	0	2	14	3	14	2	10	1	20	17	12	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick540	11	0	0	0	0	0	0	0	0	0	0	1	7	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick541	21	0	3	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	3	0	1	0	0	0	6	4	0
Mpick542	51	0	46	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick543	52	0	17	18	4	5	0	6	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick544	433	14	30	134	17	4	13	4	0	20	15	0	17	3	2	12	9	2	1	0	0	67	0	66	0	0	0	0	0	0	0	3
Mpick545	9	0	0	0	0	0	0	0	0	0	0	0	2	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick546	6	0	1	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick547	20	0	0	0	0	0	0	0	0	0	0	8	8	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick548	21	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	5
Mpick549	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick550	17	0	5	4	2	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick551	61	0	1	0	0	0	0	8	12	9	5	7	1	0	8	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick552	6	0	0	0	3	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick553	16	0	0	0	1	0	4	0	0	0	0	0	0	0	2	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick554	111	2	24	11	1	8	0	0	0	1	0	0	0	0	0	0	0	0	10	8	8	1	0	23	2	0	0	0	0	4	8	0
Mpick555	334	0	0	0	0	0	1	0	16	2	27	18	33	36	30	47	65	56	0	0	0	0	0	0	0	0	0	0	0	0	2	1
Mpick556	5041	0	33	165	64	140	112	152	395	399	540	373	520	360	272	498	666	350	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Mpick557	11	0	6	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick558	59	0	0	0	0	0	0	0	2	10	10	2	1	5	1	10	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick559	102	48	0	0	0	0	0	7	3	3	10	0	0	4	0	3	0	0	0	0	0	4	1	17	0	0	0	0	0	0	2	0
Mpick560	58	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	25	0	0	0	0	0	0	0	0
Mpick561	31	7	0	0	0	1	2	5	2	0	8	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
Mpick562	17	7	0	0	0	4	0	0	0	1	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Mpick563	161	1	0	1	0	1	2	4	2	8	19	10	8	12	25	15	26	10	0	13	1	2	0	0	0	0	0	0	0	0	0	1
Mpick564	12	0	4	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0
Mpick565	13	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	2	3	1	1	0	0	0	0	0	0	0	1
Mpick566	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	21	0	0	0	0	0	0	0	0
